R;D
1;309.684
1.58496;309.684
2;198.555
2.32193;198.555
2.58496;137.978
2.80735;137.978
3;104.258
3.16993;104.258
3.32193;81.8899
3.45943;81.8899
3.58496;67.7567
3.70044;67.7567
3.80735;55.9984
3.90689;55.9984
4;46.8927
4.08746;46.8927
4.16993;39.8694
4.24793;39.8694
4.32193;33.5325
4.39232;33.5325
4.45943;29.0163
4.52356;29.0163
4.58496;26.1409
4.64386;26.1409
4.70044;22.2497
4.75489;22.2497
4.80735;20.1306
4.85798;20.1306
4.90689;17.8894
4.9542;17.8894
5;16.049
5.04439;16.049
5.08746;13.9977
5.12928;13.9977
5.16993;13.4625
5.20945;13.4625
5.24793;11.9423
5.2854;11.9423
5.32193;10.307
5.35755;10.307
5.39232;9.91278
5.42626;9.91278
5.45943;8.90495
5.49185;8.90495
5.52356;8.41112
5.55459;8.41112
5.58496;7.18767
5.61471;7.18767
5.64386;6.99188
5.67243;6.99188
5.70044;6.61523
5.72792;6.61523
5.75489;6.0443
5.78136;6.0443
5.80735;5.69794
5.83289;5.69794
5.85798;5.47899
5.88264;5.47899
5.90689;4.59723
5.93074;4.59723
5.9542;4.53571
5.97728;4.53571
6;4.38565
6.02237;4.38565
6.04439;4.09285
6.06609;4.09285
6.08746;3.98741
6.10852;3.98741
6.12928;3.78548
6.14975;3.78548
6.16993;3.49852
6.18982;3.49852
6.20945;3.39363
6.22882;3.39363
6.24793;3.19858
6.26679;3.19858
6.2854;3.15111
6.30378;3.15111
6.32193;2.63016
6.33985;2.63016
6.35755;2.60368
6.37504;2.60368
6.39232;2.54129
6.40939;2.54129
6.42626;2.47005
6.44294;2.47005
6.45943;2.47408
6.47573;2.47408
6.49185;2.25716
6.50779;2.25716
6.52356;2.14873
6.53916;2.14873
6.55459;2.04456
6.56986;2.04456
6.58496;2.3644
6.59991;2.3644
6.61471;2.25237
6.62936;2.25237
6.64386;2.10074
6.65821;2.10074
6.67243;2.09303
6.6865;2.09303
6.70044;1.84825
6.71425;1.84825
6.72792;1.71333
6.74147;1.71333
6.75489;1.79482
6.76818;1.79482
6.78136;1.61792
6.79442;1.61792
6.80735;1.58232
6.82018;1.58232
6.83289;1.58296
6.84549;1.58296
6.85798;1.53456
6.87036;1.53456
6.88264;1.50549
6.89482;1.50549
6.90689;1.25359
6.91886;1.25359
6.93074;1.25104
6.94251;1.25104
6.9542;1.25853
6.96578;1.25853
6.97728;1.25381
6.98868;1.25381
7;1.25015
7.01123;1.25015
7.02237;1.16682
7.03342;1.16682
7.04439;1.23421
7.05528;1.23421
7.06609;1.14697
7.07682;1.14697
7.08746;1.07074
7.09803;1.07074
7.10852;1.25327
7.11894;1.25327
7.12928;1.16425
7.13955;1.16425
7.14975;1.18266
7.15987;1.18266
7.16993;1.01956
7.17991;1.01956
7.18982;1.02132
7.19967;1.02132
7.20945;1.04655
7.21917;1.04655
7.22882;0.915558
7.2384;0.915558
7.24793;0.921646
7.25739;0.921646
7.26679;0.812881
7.27612;0.812881
7.2854;0.772354
7.29462;0.772354
7.30378;0.70047
7.31288;0.70047
7.32193;1.3952
7.33092;1.3952
7.33985;1.33774
7.34873;1.33774
7.35755;1.25517
7.36632;1.25517
7.37504;1.18219
7.3837;1.18219
7.39232;1.10713
7.40088;1.10713
7.40939;1.10612
7.41785;1.10612
7.42626;0.98085
7.43463;0.98085
7.44294;0.939011
7.45121;0.939011
7.45943;0.97374
7.46761;0.97374
7.47573;0.975922
7.48382;0.975922
7.49185;0.801834
7.49985;0.801834
7.50779;0.800568
7.5157;0.800568
7.52356;0.759766
7.53138;0.759766
7.53916;0.803452
7.54689;0.803452
7.55459;0.713364
7.56224;0.713364
7.56986;0.64003
7.57743;0.64003
7.58496;0.967621
7.59246;0.967621
7.59991;0.91507
7.60733;0.91507
7.61471;0.866821
7.62205;0.866821
7.62936;0.821335
7.63662;0.821335
7.64386;0.659409
7.65105;0.659409
7.65821;0.675186
7.66534;0.675186
7.67243;0.592041
7.67948;0.592041
7.6865;0.775253
7.69349;0.775253
7.70044;0.692413
7.70736;0.692413
7.71425;0.587677
7.7211;0.587677
7.72792;0.56694
7.73471;0.56694
7.74147;0.669006
7.74819;0.669006
7.75489;0.559982
7.76155;0.559982
7.76818;0.519958
7.77479;0.519958
7.78136;0.539673
7.7879;0.539673
7.79442;0.580765
7.8009;0.580765
7.80735;0.566467
7.81378;0.566467
7.82018;0.550217
7.82655;0.550217
7.83289;0.508377
7.8392;0.508377
7.84549;0.502304
7.85175;0.502304
7.85798;0.499939
7.86419;0.499939
7.87036;0.495071
7.87652;0.495071
7.88264;0.493271
7.88874;0.493271
7.89482;0.492844
7.90087;0.492844
7.90689;0.492996
7.91289;0.492996
7.91886;0.454117
7.92481;0.454117
7.93074;0.454895
7.93664;0.454895
7.94251;0.4561
7.94837;0.4561
7.9542;0.455261
7.96;0.455261
7.96578;0.457977
7.97154;0.457977
7.97728;0.458374
7.98299;0.458374
7.98868;0.446732
7.99435;0.446732
8;0.443817
8.00562;0.443817
8.01123;0.444061
8.01681;0.444061
8.02237;0.461472
8.02791;0.461472
8.03342;0.477234
8.03892;0.477234
8.04439;0.464493
8.04985;0.464493
8.05528;0.43132
8.0607;0.43132
8.06609;0.474762
8.07146;0.474762
8.07682;0.470947
8.08215;0.470947
8.08746;0.439438
8.09276;0.439438
8.09803;0.413162
8.10329;0.413162
8.10852;0.490906
8.11374;0.490906
8.11894;0.464401
8.12412;0.464401
8.12928;0.471878
8.13443;0.471878
8.13955;0.422607
8.14466;0.422607
8.14975;0.411423
8.15482;0.411423
8.15987;0.396835
8.16491;0.396835
8.16993;0.379486
8.17493;0.379486
8.17991;0.512741
8.18488;0.512741
8.18982;0.48938
8.19476;0.48938
8.19967;0.463303
8.20457;0.463303
8.20945;0.48143
8.21432;0.48143
8.21917;0.469452
8.224;0.469452
8.22882;0.471207
8.23362;0.471207
8.2384;0.424561
8.24317;0.424561
8.24793;0.429504
8.25267;0.429504
8.25739;0.450943
8.26209;0.450943
8.26679;0.43895
8.27146;0.43895
8.27612;0.402359
8.28077;0.402359
8.2854;0.404266
8.29002;0.404266
8.29462;0.381622
8.29921;0.381622
8.30378;0.358398
8.30834;0.358398
8.31288;0.333481
8.31741;0.333481
8.32193;0.314041
8.32643;0.314041
8.33092;0.583466
8.33539;0.583466
8.33985;0.561096
8.3443;0.561096
8.34873;0.548294
8.35315;0.548294
8.35755;0.516266
8.36194;0.516266
8.36632;0.520645
8.37069;0.520645
8.37504;0.481003
8.37938;0.481003
8.3837;0.493256
8.38802;0.493256
8.39232;0.495926
8.3966;0.495926
8.40088;0.451035
8.40514;0.451035
8.40939;0.460678
8.41363;0.460678
8.41785;0.432907
8.42206;0.432907
8.42626;0.51001
8.43045;0.51001
8.43463;0.48555
8.43879;0.48555
8.44294;0.459656
8.44708;0.459656
8.45121;0.491165
8.45533;0.491165
8.45943;0.464478
8.46352;0.464478
8.46761;0.467728
8.47168;0.467728
8.47573;0.469833
8.47978;0.469833
8.48382;0.472656
8.48784;0.472656
8.49185;0.472382
8.49586;0.472382
8.49985;0.421082
8.50383;0.421082
8.50779;0.419754
8.51175;0.419754
8.5157;0.416534
8.51964;0.416534
8.52356;0.427582
8.52748;0.427582
8.53138;0.43634
8.53528;0.43634
8.53916;0.40654
8.54303;0.40654
8.54689;0.456421
8.55075;0.456421
8.55459;0.432419
8.55842;0.432419
8.56224;0.398361
8.56605;0.398361
8.56986;0.403397
8.57365;0.403397
8.57743;0.380447
8.5812;0.380447
8.58496;0.360214
8.58871;0.360214
8.59246;0.494843
8.59619;0.494843
8.59991;0.478424
8.60363;0.478424
8.60733;0.465195
8.61102;0.465195
8.61471;0.43277
8.61839;0.43277
8.62205;0.455521
8.62571;0.455521
8.62936;0.451523
8.633;0.451523
8.63662;0.444901
8.64024;0.444901
8.64386;0.442322
8.64746;0.442322
8.65105;0.397324
8.65464;0.397324
8.65821;0.402649
8.66178;0.402649
8.66534;0.391144
8.66888;0.391144
8.67243;0.408737
8.67596;0.408737
8.67948;0.383972
8.68299;0.383972
8.6865;0.360397
8.69;0.360397
8.69349;0.438583
8.69697;0.438583
8.70044;0.411362
8.7039;0.411362
8.70736;0.413605
8.71081;0.413605
